genome,taxid,species
ERR222912,485,Neisseria gonorrhoeae
ERR222913,485,Neisseria gonorrhoeae
ERR222928,485,Neisseria gonorrhoeae
ERR222931,485,Neisseria gonorrhoeae
ERR222932,485,Neisseria gonorrhoeae
ERR222935,485,Neisseria gonorrhoeae
ERR223608,485,Neisseria gonorrhoeae
ERR223617,485,Neisseria gonorrhoeae
ERR223626,485,Neisseria gonorrhoeae
ERR223627,485,Neisseria gonorrhoeae
ERR223631,485,Neisseria gonorrhoeae
ERR223636,485,Neisseria gonorrhoeae
ERR223651,485,Neisseria gonorrhoeae
ERR223662,485,Neisseria gonorrhoeae
ERR223670,485,Neisseria gonorrhoeae
ERR223687,485,Neisseria gonorrhoeae
ERR223688,485,Neisseria gonorrhoeae
ERR223695,485,Neisseria gonorrhoeae
ERR2631753,485,Neisseria gonorrhoeae
ERR2631761,485,Neisseria gonorrhoeae
ERR2631778,485,Neisseria gonorrhoeae
ERR2631782,485,Neisseria gonorrhoeae
ERR2631784,485,Neisseria gonorrhoeae
